1,London,20237,4192
2,Manchester,2584,429
3,Birmingham,2028,420
4,Edinburgh,1927,1927
5,Glasgow,1875,500
6,Leeds,1707,435
7,Liverpool,1602,376
8,Bristol,1302,369
9,Sheffield,1279,307
10,Nottingham,1047,228
11,Leicester,1061,230
12,Cardiff,918,249
13,Newcastle upon Tyne,960,960
14,Brighton,1150,383
15,Belfast,863,213
16,York,692,215
17,Blackpool,569,78
18,Southampton,622,140
19,Norwich,599,175
20,Bournemouth,620,173
